,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,CanESM5,CMCC-ESM2,EC-Earth3,EC-Earth3-Veg,EC-Earth3-Veg-LR,FGOALS-g3,GFDL-ESM4,IITM-ESM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KIOST-ESM,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,NorESM2-MM,TaiESM1
15776,22.3931,26.1368,22.1314,23.32,26.018,23.9384,25.9057,23.5395,20.9035,21.2605,21.1805,23.6292,23.7988,21.432,25.4825,20.9694,21.4306,26.8482,24.3728,17.233,25.9723,18.8159,20.9983,24.5103
15777,21.8616,25.9592,22.9597,20.2822,22.3801,24.1883,26.5063,22.3891,23.7267,22.0826,21.0189,24.8362,24.4253,24.1498,19.8011,23.1078,22.9029,26.9405,24.1935,19.4953,26.6059,20.1073,15.1674,21.817
15778,23.7794,25.9717,22.9232,21.4446,21.628,19.5613,26.4378,23.402,23.96,22.9325,18.7562,25.7137,25.4105,24.8962,17.6881,24.5353,23.617,26.2328,24.333,22.5536,27.0194,22.1814,17.1976,22.3599
15779,24.6702,25.5117,22.6397,22.7586,21.7224,15.1737,27.0138,23.5195,23.7252,22.9823,18.9179,27.0786,24.9333,17.3235,16.314,25.932,23.9296,23.4897,24.1599,22.8084,26.905,21.8979,21.095,24.0352
15780,24.9981,26.5358,23.0656,23.7257,23.5868,18.6979,26.9614,24.2182,25.3339,22.3654,19.2687,27.9649,24.4002,17.7784,16.495,26.5337,23.9785,21.062,24.4306,22.3202,26.2709,22.9142,22.4305,25.4303
15781,25.2348,26.9487,20.8166,23.8935,25.6409,22.12,27.1362,25.1756,26.2658,19.3616,20.3922,27.5605,25.1563,18.3341,19.7781,26.48,24.3491,19.3139,24.2008,21.7423,26.3026,23.915,23.5961,21.9727
15782,25.5391,26.8052,19.8649,21.764,26.034,23.4125,26.1221,24.6313,25.376,17.8917,20.9227,27.2053,25.2604,21.8513,20.9173,26.7173,24.9715,19.1505,23.9702,21.9393,25.7665,21.9754,25.036,19.2471
15783,25.0707,26.4982,19.99,22.7606,25.8668,24.5904,25.7357,25.4235,25.806,20.0348,22.1892,27.4586,22.9662,23.3429,21.5786,27.2265,24.9554,20.2905,24.3711,23.4585,26.0116,22.9901,25.4727,20.267
15784,26.0133,26.8775,22.04,24.3466,24.5017,25.091,25.0238,25.937,26.2072,19.7689,23.5641,25.8687,21.871,23.8582,23.8974,27.642,24.1256,22.7966,25.1795,24.2635,26.0786,24.5419,22.9615,18.0958
15785,26.0666,27.0342,22.2099,25.049,25.4639,25.4921,25.9174,26.7298,25.9979,21.2646,22.3666,23.4358,24.2573,24.7695,24.9441,28.6422,24.0104,25.3185,24.9039,22.8933,26.6641,21.6833,21.9551,19.3204
15786,26.0663,26.6691,22.2497,24.1331,25.0069,26.025,26.0118,26.5903,26.9545,22.8523,21.3951,22.7512,25.9778,24.8713,24.063,26.4258,23.7731,25.6197,24.0478,20.4509,25.9657,20.7474,24.7968,19.6239
15787,26.21,25.1489,21.0005,25.4904,26.2052,24.4427,26.312,26.1841,27.2199,23.5948,21.4664,24.1806,19.7615,25.0087,21.8608,26.5831,23.7923,26.3465,23.8447,22.1093,26.3396,23.0285,21.3938,21.4363
15788,26.8477,25.5463,20.6307,25.6051,24.8765,24.0853,27.4405,26.8914,25.5508,24.3903,23.7269,27.0185,19.2867,26.3415,21.093,23.8215,24.2704,25.8458,23.3722,22.419,27.8213,24.1898,17.0603,22.9559
15789,26.6333,25.8739,23.1418,26.9863,24.8468,24.0533,28.4523,25.1811,24.6091,24.2736,23.0039,27.5941,19.3603,26.3883,22.0421,25.0166,22.4521,25.3085,23.579,24.8817,27.0389,24.5405,19.1495,22.9651
15790,26.5428,25.8203,22.8549,27.566,23.5107,24.0998,29.1186,21.7165,21.8919,22.7624,20.1483,25.1599,21.2424,26.162,23.2451,26.4159,23.5111,22.9079,24.6307,26.0617,25.9894,24.4849,22.6562,23.0169
15791,23.362,26.3487,21.9894,27.022,20.8856,24.5711,29.4858,19.0085,20.8123,21.5055,19.1001,22.7197,25.3259,26.3246,23.783,26.4518,23.2775,20.4793,26.077,25.2079,26.09,25.2004,23.0388,24.1062
15792,23.3263,26.1628,24.6499,25.1136,20.8196,25.8429,27.2698,19.2072,22.3892,21.7525,21.9476,24.7274,25.5437,23.4708,23.9192,26.4676,23.513,22.3652,25.8835,27.3611,23.3762,25.3818,24.1497,24.421
15793,23.2968,27.2329,24.1883,26.5769,22.3475,25.672,25.5915,22.8252,23.9531,22.8887,24.6151,27.181,25.2748,23.5855,25.1124,27.5168,21.2873,24.6408,25.0215,27.405,24.2045,25.1284,24.9808,25.2126
15794,22.7465,25.2905,24.6267,27.3143,23.5462,25.0933,26.66,24.3941,24.4505,24.1037,24.0103,27.1463,25.8719,25.5568,25.5003,26.9463,20.2078,26.2125,24.8413,27.0835,26.5425,25.7406,24.3162,22.8714
15795,23.5647,25.5733,24.5303,24.7994,24.3354,23.9756,24.9312,25.4327,25.7581,24.9345,25.0616,26.9372,25.8865,26.5902,25.6577,27.791,20.7996,26.075,25.5069,26.4898,27.6263,25.5207,25.6133,24.5671
15796,24.9723,26.8177,23.6076,25.0904,25.1567,21.7449,22.8162,26.369,26.9588,24.5729,25.0491,24.8148,24.7976,27.3368,25.1541,27.9099,22.7011,27.607,26.3819,26.3166,27.5479,25.4757,24.054,26.051
15797,26.8174,25.146,23.7577,26.8232,26.0173,24.8291,24.808,26.2995,27.5723,23.587,25.9008,24.1825,22.8159,27.9057,25.0231,24.587,21.9166,26.9514,26.7815,24.8677,27.0263,25.7408,24.7157,26.729
15798,27.0575,21.5858,23.4078,27.9696,25.8329,26.4123,25.8418,25.1771,22.93,23.2178,25.8165,24.791,21.3032,26.5803,24.4565,22.304,23.0515,26.7759,26.6234,26.463,27.2057,25.7934,23.8767,26.6643
15799,27.0913,20.7717,25.4707,25.22,22.0301,26.3338,24.7318,24.3972,16.9457,25.4272,25.086,25.747,23.1986,26.8728,21.1708,24.9503,24.6907,25.8781,26.6451,26.2837,27.2057,26.5385,24.2802,26.6246
15800,27.3071,20.7757,24.0108,24.6148,22.9044,26.8142,23.0589,25.4918,18.5747,26.6867,25.1949,24.8916,24.5673,26.6618,20.7531,26.6169,24.8377,26.3812,26.4777,27.4506,27.9382,26.3764,24.9559,25.9993
15801,27.3396,21.1074,24.8333,23.9396,23.9512,24.7767,24.4257,25.4514,22.2314,25.1101,25.7939,25.0297,24.8793,24.3319,24.3979,26.351,24.5406,27.6761,25.9261,27.9947,28.0485,25.2179,24.5339,26.7287
15802,27.8065,21.581,22.2498,26.2131,25.8124,24.3871,25.9881,26.6952,24.5799,25.8027,24.9267,26.2713,25.3588,22.5699,27.1148,27.2928,23.8035,27.5379,24.8217,28.1493,27.5404,24.5569,23.3076,25.7944
15803,26.9159,21.7494,21.4297,27.4909,26.4061,25.683,26.132,26.8996,22.1159,26.3637,24.7011,25.6239,25.9116,25.9137,27.644,26.3268,24.2309,26.1628,24.3656,28.2475,28.2825,24.4928,25.6718,25.8568
15804,25.0349,22.1801,22.1696,26.0045,26.6484,24.0628,26.3377,26.7711,24.8131,26.3305,24.3999,25.1553,26.211,26.5787,26.9569,26.3275,24.9541,26.6167,25.8798,27.9707,28.5196,25.7731,26.6882,28.0474
15805,25.6549,22.6958,23.1073,27.1771,27.0562,23.7095,26.6344,27.2547,25.75,25.5214,25.4465,27.0215,26.1761,27.9068,26.9068,27.0101,23.9589,26.7788,27.1336,23.1823,28.2448,26.8279,26.6136,26.4897
