date,GDP
2019/01/03,4580792
2019/01/04,4580792
2019/01/05,4580792
2019/01/06,4580792
2019/01/07,4580792
2019/01/08,4580792
2019/01/09,4580792
2019/01/10,4580792
2019/01/11,4580792
2019/01/12,4580792
2019/01/13,4580792
2019/01/14,4580792
2019/01/15,4580792
2019/01/16,4580792
2019/01/17,4580792
2019/01/18,4580792
2019/01/19,4580792
2019/01/20,4580792
2019/01/21,4580792
2019/01/22,4580792
2019/01/23,4580792
2019/01/24,4580792
2019/01/25,4580792
2019/01/26,4580792
2019/01/27,4580792
2019/01/28,4580792
2019/01/29,4580792
2019/01/30,4580792
2019/01/31,4580792
2019/02/01,4580792
2019/02/02,4580792
2019/02/03,4580792
2019/02/04,4580792
2019/02/05,4580792
2019/02/06,4580792
2019/02/07,4580792
2019/02/08,4580792
2019/02/09,4580792
2019/02/10,4580792
2019/02/11,4580792
2019/02/12,4580792
2019/02/13,4580792
2019/02/14,4580792
2019/02/15,4580792
2019/02/16,4580792
2019/02/17,4580792
2019/02/18,4580792
2019/02/19,4580792
2019/02/20,4580792
2019/02/21,4580792
2019/02/22,4580792
2019/02/23,4580792
2019/02/24,4580792
2019/02/25,4580792
2019/02/26,4580792
2019/02/27,4580792
2019/02/28,4580792
2019/03/01,4580792
2019/03/02,4580792
2019/03/03,4580792
2019/03/04,4580792
2019/03/05,4580792
2019/03/06,4580792
2019/03/07,4580792
2019/03/08,4580792
2019/03/09,4580792
2019/03/10,4580792
2019/03/11,4580792
2019/03/12,4580792
2019/03/13,4580792
2019/03/14,4580792
2019/03/15,4580792
2019/03/16,4580792
2019/03/17,4580792
2019/03/18,4580792
2019/03/19,4580792
2019/03/20,4580792
2019/03/21,4580792
2019/03/22,4580792
2019/03/23,4580792
2019/03/24,4580792
2019/03/25,4580792
2019/03/26,4580792
2019/03/27,4580792
2019/03/28,4580792
2019/03/29,4580792
2019/03/30,4580792
2019/03/31,4580792
2019/04/01,4614922
2019/04/02,4614922
2019/04/03,4614922
2019/04/04,4614922
2019/04/05,4614922
2019/04/06,4614922
2019/04/07,4614922
2019/04/08,4614922
2019/04/09,4614922
2019/04/10,4614922
2019/04/11,4614922
2019/04/12,4614922
2019/04/13,4614922
2019/04/14,4614922
2019/04/15,4614922
2019/04/16,4614922
2019/04/17,4614922
2019/04/18,4614922
2019/04/19,4614922
2019/04/20,4614922
2019/04/21,4614922
2019/04/22,4614922
2019/04/23,4614922
2019/04/24,4614922
2019/04/25,4614922
2019/04/26,4614922
2019/04/27,4614922
2019/04/28,4614922
2019/04/29,4614922
2019/04/30,4614922
2019/05/01,4614922
2019/05/02,4614922
2019/05/03,4614922
2019/05/04,4614922
2019/05/05,4614922
2019/05/06,4614922
2019/05/07,4614922
2019/05/08,4614922
2019/05/09,4614922
2019/05/10,4614922
2019/05/11,4614922
2019/05/12,4614922
2019/05/13,4614922
2019/05/14,4614922
2019/05/15,4614922
2019/05/16,4614922
2019/05/17,4614922
2019/05/18,4614922
2019/05/19,4614922
2019/05/20,4614922
2019/05/21,4614922
2019/05/22,4614922
2019/05/23,4614922
2019/05/24,4614922
2019/05/25,4614922
2019/05/26,4614922
2019/05/27,4614922
2019/05/28,4614922
2019/05/29,4614922
2019/05/30,4614922
2019/05/31,4614922
2019/06/01,4614922
2019/06/02,4614922
2019/06/03,4614922
2019/06/04,4614922
2019/06/05,4614922
2019/06/06,4614922
2019/06/07,4614922
2019/06/08,4614922
2019/06/09,4614922
2019/06/10,4614922
2019/06/11,4614922
2019/06/12,4614922
2019/06/13,4614922
2019/06/14,4614922
2019/06/15,4614922
2019/06/16,4614922
2019/06/17,4614922
2019/06/18,4614922
2019/06/19,4614922
2019/06/20,4614922
2019/06/21,4614922
2019/06/22,4614922
2019/06/23,4614922
2019/06/24,4614922
2019/06/25,4614922
2019/06/26,4614922
2019/06/27,4614922
2019/06/28,4614922
2019/06/29,4614922
2019/06/30,4614922
2019/07/01,4770449
2019/07/02,4770449
2019/07/03,4770449
2019/07/04,4770449
2019/07/05,4770449
2019/07/06,4770449
2019/07/07,4770449
2019/07/08,4770449
2019/07/09,4770449
2019/07/10,4770449
2019/07/11,4770449
2019/07/12,4770449
2019/07/13,4770449
2019/07/14,4770449
2019/07/15,4770449
2019/07/16,4770449
