date,GDP,平均每人所得,景氣指標,season,holiday,max_temp,min_temp,mean_temp,Max_SthPres,Min_StnPres,Min_RH,Mean_StnPres,Mean_RH,Mean_Precp,Mean_WD,Mean_WDGust,Mean_WS,Mean_WSGust,石化業該日最高用電量,金屬製造該日最高用電量,資訊電子該日最高用電量,綜合服務該日最高用電量,民生工業該日最高用電量,Mean_WS_log
2018/08/11,4597982,164958,24,0.5,1.0,0.9605263157894740,0.9461538461538460,0.9401508436878100,0.006981912966575910,0.9938813319682120,0.48051948051948100,0.33027200191894400,0.013577331622397200,0.0017211703958691900,0.002341961794629550,0.0014202766248792600,0.13285457809694800,0.12500000000000000,0.7458586314163720,0.5666352482738420,0.6925099108946480,0.08565039168458460,0.7023530442012020,0.20266956820570200
2018/08/12,4597982,164958,24,0.5,1.0,0.95,0.9615384615384620,0.9347358563138620,0.004945521684657890,0.9929549997562280,0.4285714285714290,0.6266060500152970,0.9422187979725280,0.04274802290394070,0.42778754618705300,0.32585901259991300,0.22663428028302900,0.26485412713472500,0.6868968391094080,0.514652591310428,0.6743854698351070,0.08079449966579800,0.5553949319470510,0.32505866806718600
2018/08/13,4597982,164958,24,0.5,0.0,0.894736842105263,0.9461538461538460,0.9161864307573950,0.004751579657808700,0.9936131831700060,0.6623376623376620,0.7038884857252760,0.32256429315099600,0.18882547734798800,0.002138569266209870,0.014729797148831800,0.31956912028725300,0.3833563242784380,0.8458311156272640,0.6033495529194230,0.7260838953793550,0.1084991266518690,0.9222047490732720,0.4335541490803200
2018/08/14,4597982,164958,24,0.5,0.0,0.8868421052631580,0.9115384615384620,0.8795290733648840,0.00581826080547998,0.9939544634586320,0.6233766233766230,0.6301866192052780,0.03410443745821320,0.20080321285140600,0.0028062273486310100,0.00165008969609477,0.22621184919210100,0.2842741935483870,0.8567762694905860,0.6367302673931200,0.7234430380040170,0.10793055476811900,0.9508667850214470,0.3245385922554800
2018/08/15,4597982,164958,24,0.5,0.0,0.876315789473684,0.9230769230769230,0.8856263692158470,0.007369797020274630,0.9942957437472580,0.6753246753246750,0.6325699564349050,0.032944035763790800,0.08555525359583700,0.004263873802305410,0.0019372233485834400,0.27468581687612200,0.36945564516129100,0.8601366441167020,0.589531380503713,0.7241750634318000,0.10586872431593800,0.948766453063787,0.3825738476905430
2018/08/16,4597982,164958,24,0.5,0.0,0.8973684210526320,0.9269230769230770,0.918149739953509,0.007563739047124040,0.9941251036029450,0.6103896103896100,0.6316771507425370,0.028342442837633300,0.03996940141518460,0.004492321932052160,0.002161198212447060,0.33931777378815100,0.3371975806451610,0.8614177638538550,0.5976891228259390,0.7277450628775370,0.10545528623890700,0.9539435590493230,0.45521354865399200
2018/08/17,4597982,164958,24,0.5,0.0,0.9368421052631580,0.9423076923076920,0.9307323109855010,0.006303115872603350,0.9938813319682120,0.49350649350649400,0.6304514344530140,0.027302082697806300,0.06616943966341560,0.004103223182031890,0.0017265171377923100,0.3213644524236980,0.33971774193548400,0.857894130277086,0.6218433510406730,0.7292391957079190,0.10624113685847900,0.9404604148982430,0.435542028280836
2018/08/18,4597982,164958,24,0.5,1.0,0.8736842105263160,0.9230769230769230,0.8906232754151540,0.008145565127672060,0.9945638925454630,0.6883116883116880,0.6339318634232640,0.033184118872981700,0.10499139414802100,0.003952889574069520,0.0019733140849406100,0.14362657091561900,0.3331653225806450,0.7580476790241620,0.5717291768631010,0.6908633498839750,0.08494930144281070,0.7066885539785280,0.21748639618218800
2018/08/19,4597982,164958,24,0.5,1.0,0.8657894736842100,0.9307692307692310,0.876043948693078,0.00930921728876799,0.9948320413436690,0.6493506493506490,0.6363076345029560,0.034424548270467600,0.10862497609485600,0.0027104265200275300,0.0015752544927659300,0.1454219030520650,0.2752016129032260,0.6842933017451290,0.5212489808899930,0.671672546070183,0.07949388587505730,0.554983736764845,0.21993536964641600
2018/08/20,4597982,164958,24,0.5,0.0,0.8789473684210530,0.9,0.8958676856698490,0.008145565127672060,0.9946126468724100,0.6623376623376620,0.3333968218422330,0.01969945090676340,0.05565117613310390,0.001494492926214200,0.0011235895421783900,0.0628366247755835,0.1003024193548390,0.8448512914013370,0.589881766825041,0.722175342184668,0.10491953557195600,0.9392198623995630,0.10081452996285000
2018/08/21,4597982,164958,24,0.5,0.0,0.8921052631578950,0.8846153846153850,0.9089987792029700,0.006787970939726720,0.9939544634586320,0.5844155844155850,0.5479215523251450,0.6597610200095170,0.06587195342215420,0.07024411524987070,0.17717632447695000,0.13604627967285100,0.18654793906810000,0.8534801665655780,0.6287565373479190,0.7264757310330610,0.10619500757990300,0.9788171273743620,0.20708190242147800
