date,Table_lamp_business_electricity_sales(kWh)
2018/9/5,307295563
2018/9/6,307295563
2018/9/7,307295563
2018/9/8,307295563
2018/9/9,307295563
2018/9/10,307295563
2018/9/11,307295563
2018/9/12,307295563
2018/9/13,307295563
2018/9/14,307295563
2018/9/15,307295563
2018/9/16,307295563
2018/9/17,307295563
2018/9/18,307295563
2018/9/19,307295563
2018/9/20,307295563
2018/9/21,307295563
2018/9/22,307295563
2018/9/23,307295563
2018/9/24,307295563
2018/9/25,307295563
2018/9/26,307295563
2018/9/27,307295563
2018/9/28,307295563
2018/9/29,307295563
2018/9/30,307295563
2018/10/1,254300931
2018/10/2,254300931
2018/10/3,254300931
2018/10/4,254300931
2018/10/5,254300931
2018/10/6,254300931
2018/10/7,254300931
2018/10/8,254300931
2018/10/9,254300931
2018/10/10,254300931
2018/10/11,254300931
2018/10/12,254300931
2018/10/13,254300931
2018/10/14,254300931
2018/10/15,254300931
2018/10/16,254300931
2018/10/17,254300931
2018/10/18,254300931
2018/10/19,254300931
2018/10/20,254300931
2018/10/21,254300931
2018/10/22,254300931
2018/10/23,254300931
2018/10/24,254300931
2018/10/25,254300931
2018/10/26,254300931
2018/10/27,254300931
2018/10/28,254300931
2018/10/29,254300931
2018/10/30,254300931
2018/10/31,254300931
2018/11/1,260082521
2018/11/2,260082521
2018/11/3,260082521
2018/11/4,260082521
2018/11/5,260082521
2018/11/6,260082521
2018/11/7,260082521
2018/11/8,260082521
2018/11/9,260082521
2018/11/10,260082521
2018/11/11,260082521
2018/11/12,260082521
2018/11/13,260082521
2018/11/14,260082521
2018/11/15,260082521
2018/11/16,260082521
2018/11/17,260082521
2018/11/18,260082521
2018/11/19,260082521
2018/11/20,260082521
2018/11/21,260082521
2018/11/22,260082521
2018/11/23,260082521
2018/11/24,260082521
2018/11/25,260082521
2018/11/26,260082521
2018/11/27,260082521
2018/11/28,260082521
2018/11/29,260082521
2018/11/30,260082521
2018/12/1,221840117
2018/12/2,221840117
2018/12/3,221840117
2018/12/4,221840117
2018/12/5,221840117
2018/12/6,221840117
2018/12/7,221840117
2018/12/8,221840117
2018/12/9,221840117
2018/12/10,221840117
2018/12/11,221840117
2018/12/12,221840117
2018/12/13,221840117
2018/12/14,221840117
2018/12/15,221840117
2018/12/16,221840117
2018/12/17,221840117
2018/12/18,221840117
2018/12/19,221840117
2018/12/20,221840117
2018/12/21,221840117
2018/12/22,221840117
2018/12/23,221840117
2018/12/24,221840117
2018/12/25,221840117
2018/12/26,221840117
2018/12/27,221840117
2018/12/28,221840117
2018/12/29,221840117
2018/12/30,221840117
2018/12/31,221840117
2019/1/1,236002099
2019/1/2,236002099
2019/1/3,236002099
2019/1/4,236002099
2019/1/5,236002099
2019/1/6,236002099
2019/1/7,236002099
2019/1/8,236002099
2019/1/9,236002099
2019/1/10,236002099
2019/1/11,236002099
2019/1/12,236002099
2019/1/13,236002099
2019/1/14,236002099
2019/1/15,236002099
2019/1/16,236002099
2019/1/17,236002099
2019/1/18,236002099
2019/1/19,236002099
2019/1/20,236002099
2019/1/21,236002099
2019/1/22,236002099
2019/1/23,236002099
2019/1/24,236002099
2019/1/25,236002099
2019/1/26,236002099
2019/1/27,236002099
2019/1/28,236002099
2019/1/29,236002099
2019/1/30,236002099
2019/1/31,236002099
2019/2/1,194679441
2019/2/2,194679441
2019/2/3,194679441
2019/2/4,194679441
2019/2/5,194679441
2019/2/6,194679441
2019/2/7,194679441
2019/2/8,194679441
2019/2/9,194679441
2019/2/10,194679441
2019/2/11,194679441
2019/2/12,194679441
2019/2/13,194679441
2019/2/14,194679441
2019/2/15,194679441
2019/2/16,194679441
2019/2/17,194679441
2019/2/18,194679441
2019/2/19,194679441
2019/2/20,194679441
2019/2/21,194679441
2019/2/22,194679441
2019/2/23,194679441
2019/2/24,194679441
2019/2/25,194679441
2019/2/26,194679441
2019/2/27,194679441
2019/2/28,194679441
2019/3/1,204095212
2019/3/2,204095212
2019/3/3,204095212
2019/3/4,204095212
2019/3/5,204095212
2019/3/6,204095212
2019/3/7,204095212
2019/3/8,204095212
2019/3/9,204095212
2019/3/10,204095212
2019/3/11,204095212
2019/3/12,204095212
2019/3/13,204095212
2019/3/14,204095212
2019/3/15,204095212
2019/3/16,204095212
2019/3/17,204095212
2019/3/18,204095212
2019/3/19,204095212
2019/3/20,204095212
2019/3/21,204095212
2019/3/22,204095212
2019/3/23,204095212
2019/3/24,204095212
2019/3/25,204095212
2019/3/26,204095212
2019/3/27,204095212
2019/3/28,204095212
2019/3/29,204095212
2019/3/30,204095212
2019/3/31,204095212
2019/4/1,192517959
2019/4/2,192517959
2019/4/3,192517959
2019/4/4,192517959
2019/4/5,192517959
2019/4/6,192517959
2019/4/7,192517959
2019/4/8,192517959
2019/4/9,192517959
2019/4/10,192517959
2019/4/11,192517959
2019/4/12,192517959
2019/4/13,192517959
2019/4/14,192517959
2019/4/15,192517959
2019/4/16,192517959
2019/4/17,192517959
2019/4/18,192517959
2019/4/19,192517959
2019/4/20,192517959
2019/4/21,192517959
2019/4/22,192517959
2019/4/23,192517959
2019/4/24,192517959
2019/4/25,192517959
2019/4/26,192517959
2019/4/27,192517959
2019/4/28,192517959
2019/4/29,192517959
2019/4/30,192517959
2019/5/1,241879397
2019/5/2,241879397
2019/5/3,241879397
2019/5/4,241879397
2019/5/5,241879397
2019/5/6,241879397
2019/5/7,241879397
2019/5/8,241879397
2019/5/9,241879397
